Indicator	Category	Ransomware	Keylogger	Worm	Backdoor	Techniques
Contains a reference to an SMB resource that leaks NetNTLM hashes.	general	0	0	0	0	T1187
Contains a service.	general	0	0	0	0	
Contains American Express credit card numbers.	general	0	0	0	0	
Contains AngularJS scripts.	general	0	0	0	0	T1064
Contains aPLib compressed PE file.	general	0	0	0	0	T1027
Contains base16 encoded PE file.	general	0	0	0	0	T1027
Contains base32 encoded PE file.	general	0	0	0	0	T1027
Contains base64 encoded PE file.	general	0	0	0	0	T1027
Contains BCGlobal credit card numbers.	general	0	0	0	0	
Contains BitCoin addresses.	general	0	0	0	0	
Contains BitCoin wallet addresses.	general	0	0	0	0	
Contains blocks used in SHA-1 collision attacks.	general	0	0	0	0	
Contains brieflz compressed PE file.	general	0	0	0	0	T1027
Contains Carte Blanche credit card numbers.	general	0	0	0	0	
Contains China UnionPay credit card numbers.	general	0	0	0	0	
Contains common certificate strings.	general	0	0	0	0	
Contains common user-agent strings.	general	1	1	1	1	
Contains compiled Lua script bytecode.	general	0	0	0	0	T1064
Contains compression libraries.	general	1	0	0	0	
Contains crush compressed PE file.	general	0	0	0	0	T1027
Contains cryptocurrency wallet addresses associated with ransomware.	general	1	0	0	0	
Contains Diners Club International credit card numbers.	general	0	0	0	0	
Contains Discover Card credit card numbers.	general	0	0	0	0	
Contains domains associated with ransomware.	general	1	0	0	0	
Contains e-mail addresses associated with ransomware.	general	1	0	0	0	
Contains e-mail addresses.	general	0	0	0	0	
Contains embedded PE file written in reverse.	general	0	0	0	0	T1027
Contains executable filenames resembling the Service Host Process executable.	general	1	1	1	1	T1036
Contains executable filenames resembling the Windows Explorer executable.	general	1	1	1	1	T1036
Contains fastlz compressed PE file.	general	0	0	0	0	T1027
Contains format strings related to Bitcoin prices.	general	0	0	0	0	
Contains generic SQL database queries.	general	0	0	0	0	
Contains HTML scripts.	general	0	0	0	0	
Contains HTTP header fields.	general	0	0	0	0	
Contains Insta Payment credit card numbers.	general	0	0	0	0	
Contains IP addresses.	general	0	0	0	0	
Contains Japan Credit Bureau credit card numbers.	general	0	0	0	0	
Contains JavaScript scripts.	general	0	0	0	0	T1064
Contains jQuery scripts.	general	0	0	0	0	T1064
Contains Korean Local credit card numbers.	general	0	0	0	0	
